,model,seed,name,MCC
579,svm,15_skf_4,svm_seed_15_skf_4_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.275
580,svm,16_skf_0,svm_seed_16_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.22399999999999998
581,svm,16_skf_1,svm_seed_16_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.24
582,svm,16_skf_2,svm_seed_16_skf_2_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.23199999999999998
583,svm,16_skf_3,svm_seed_16_skf_3_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.29100000000000004
584,svm,16_skf_4,svm_seed_16_skf_4_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.258
585,svm,17_skf_0,svm_seed_17_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.258
586,svm,17_skf_1,svm_seed_17_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.16
587,svm,17_skf_2,svm_seed_17_skf_2_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.26
588,svm,17_skf_3,svm_seed_17_skf_3_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.263
590,svm,18_skf_0,svm_seed_18_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.218
591,svm,18_skf_1,svm_seed_18_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.257
592,svm,18_skf_2,svm_seed_18_skf_2_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.27399999999999997
593,svm,18_skf_3,svm_seed_18_skf_3_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.226
594,svm,18_skf_4,svm_seed_18_skf_4_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.204
595,svm,19_skf_0,svm_seed_19_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.204
