,model,seed,name,MCC
98,svm,19_skf_3,svm_seed_19_skf_3_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.195
99,svm,19_skf_4,svm_seed_19_skf_4_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.175
0,rf,0_skf_0,rf_seed_0_skf_0_paras_0_estimator_700_depth_11_random_1_leaf_5_year_1997_weight_balanced,0.182
1,rf,0_skf_1,rf_seed_0_skf_1_paras_0_estimator_700_depth_11_random_1_leaf_5_year_1997_weight_balanced,0.192
2,rf,0_skf_2,rf_seed_0_skf_2_paras_0_estimator_700_depth_11_random_1_leaf_5_year_1997_weight_balanced,0.225
3,rf,0_skf_3,rf_seed_0_skf_3_paras_0_estimator_700_depth_11_random_1_leaf_5_year_1997_weight_balanced,0.198
4,rf,0_skf_4,rf_seed_0_skf_4_paras_0_estimator_700_depth_11_random_1_leaf_5_year_1997_weight_balanced,0.241
5,rf,1_skf_0,rf_seed_1_skf_0_paras_0_estimator_700_depth_11_random_1_leaf_5_year_1997_weight_balanced,0.188
6,rf,1_skf_1,rf_seed_1_skf_1_paras_0_estimator_700_depth_11_random_1_leaf_5_year_1997_weight_balanced,0.22
8,rf,1_skf_3,rf_seed_1_skf_3_paras_0_estimator_700_depth_11_random_1_leaf_5_year_1997_weight_balanced,0.24
9,rf,1_skf_4,rf_seed_1_skf_4_paras_0_estimator_700_depth_11_random_1_leaf_5_year_1997_weight_balanced,0.209
10,rf,2_skf_0,rf_seed_2_skf_0_paras_0_estimator_700_depth_11_random_1_leaf_5_year_1997_weight_balanced,0.167
11,rf,2_skf_1,rf_seed_2_skf_1_paras_0_estimator_700_depth_11_random_1_leaf_5_year_1997_weight_balanced,0.234
12,rf,2_skf_2,rf_seed_2_skf_2_paras_0_estimator_700_depth_11_random_1_leaf_5_year_1997_weight_balanced,0.237
13,rf,2_skf_3,rf_seed_2_skf_3_paras_0_estimator_700_depth_11_random_1_leaf_5_year_1997_weight_balanced,0.237
14,rf,2_skf_4,rf_seed_2_skf_4_paras_0_estimator_700_depth_11_random_1_leaf_5_year_1997_weight_balanced,0.154
15,rf,3_skf_0,rf_seed_3_skf_0_paras_0_estimator_700_depth_11_random_1_leaf_5_year_1997_weight_balanced,0.194
16,rf,3_skf_1,rf_seed_3_skf_1_paras_0_estimator_700_depth_11_random_1_leaf_5_year_1997_weight_balanced,0.2
